aaaa	工 恭恭敬敬
aesu	菜
aetg	蕤
aetm	散射
aetx	菜系
aety	散
aeui	藤
aevf	荽
aeyu	芨
aeyy	散文
afab	鞯
afae	鞴
afaf	某某 鞑靼
afak	鞳
afap	芙蓉
afaw	菱花
afay	甘蔗
afbb	鞭子 鞋子
afbh	邯
afcn	靶
afcs	鞣
afcu	芸 芰
afd	甘
afdj	薷
afdp	鞑
afey	靸
aff	芏
affc	蕓
afff	鞋 葑 鞲
affh	靬
afft	贡献者 劳动者
affu	蔡元培
afga	菱形
afgo	东南亚
afgs	芙琳 靺
afhx	某些
afie	鞘
afii	蒜
afj	革 芉
afjf	鞸
afjg	靼
afjh	鞮
afjn	鞨
afkf	薹
afkp	薳
afkv	鞻
aflf	蕾
afln	勒
aflt	劳动力
afmd	鞅
afmi	贰
afmw	靹
afnh	苇
afny	甘心
afpv	鞍
afqb	芜 芫
afqk	著名
afqo	鞠
afqq	鞔
afqw	莰
afqy	鞫 韂
afrh	靳
afri	甘泉
afsu	某
afsy	著述
aftj	著 鞒 蓍
aftk	某种
aftq	著称
aftx	荖
afuk	东南部 蔷
afus	革新
afvi	甘肃
afvp	鞬
afwg	革命
afwh	某个 若干个
afwk	鞈 薔
afwq	鞭
afwt	著作 菱
afwu	芙
afww	某人
afwx	靴
afwy	藿
afxl	靿
afya	苇席
afyb	鞹
afyu	或者说
agai	荆东
agaj	荆
agat	蒋丽莉
agd	匡
agdb	欧亚大陆
agdn	菾
agee	七月
agef	菁 蒪
agey	莆
agfg	七十
agfj	芋
agha	黄一彪
aghg	廿
aghh	艹
agho	蔫
agia	荆江
agig	苤
agjm	巧遇
agjn	蕙
agjs	苹果
aglg	薑
agln	劻
agmh	芾
agn	七 匚
agnk	戈壁
agnn	巧 瓨
agnt	戈
agnu	黄瓦飞
agny	弋
agou	莱
agqa	葬
agqg	薤
agrh	七年
agsu	茉
agta	董事长
agth	廾
aguh	苹
aguw	荚
aguy	荆门
agvh	萐
agvi	巧妙
agvv	萋
agwf	董事会
agwh	七个
agwq	薾
agxw	荑
agyt	荆州
agyw	七座
ahap	蘧
ahf	芷 苜
ahft	基督教
ahho	煕
ahhw	牙齿
ahic	菽
ahim	蘋
ahkf	苫
ahkm	颐 赜
ahko	熙
ahma	雅典
ahna	臣民
ahnd	硻
ahnh	臣 卧
ahnn	薡
ahnr	掔
ahpg	卧室
ahtb	邪
ahte	牙
ahtg	鸦
ahth	鸦片
ahtp	迓
ahty	雅
ahyp	牙膏
aiai	茫茫
aian	菃
aiaq	东欧
aias	蕖
aibb	范
aibp	工学院 医学院
aidj	东非
aidm	东面
aidn	落成
aiea	薄膜
aieg	菹
aiej	萷
aifb	落地
aifd	东城
aifh	东坡
aifj	藻井
aifm	东南 葛洲坝
aifr	蒲圻
aigc	落到
aigf	薄
aigh	落下 萍
aigo	东亚 东晋
aigy	蒲
aihc	菠
aii	东
aiic	东汉 菏泽
aiid	东湖
aiit	东海 莎
aikf	落叶
aikg	东吴
aikh	东路
aiks	藻
aild	范畴
ailf	范围
ailp	东边
aimd	东岸
aimq	东风
ainr	荡
aipq	董小宛
aipu	落实
aiqd	茫然
aiqg	鸫
aire	蒎
airg	落后 东岳
aisg	东西
aisk	菏
aism	蒸汽机
aist	蓝小梅
aita	东升
aitg	东征
aitk	落
aitl	藩
aity	落入
aiu	汞
aiud	落差
aiug	艾滋病
aiuk	东部
aiut	东道
aiux	东北
aiuy	东门
aiwj	蕍
aiwm	东侧
aiww	欧洲人
aixc	东经
aixe	范蠡
aixu	薄弱
aiye	蒗
aiyi	东京
aiyn	茫
aiyt	东州
aiyy	东方
ajaa	萌芽
ajag	墓葬
ajbc	蕞
ajdb	鄚
ajdc	蓦
ajdd	莫大
ajdf	墓
ajdh	幕
ajdj	莫非 暮
ajdl	募
ajdn	慕
ajdr	草原 摹
ajdu	莫
ajef	萌
ajf	昔
ajfb	蓦地 草地 墓地
ajfn	草场
ajfu	莳
ajgd	蓝天
ajh	划
ajhc	皵
ajj	草
ajjf	菖
ajjh	剒
ajjj	昔日
ajjv	划归
ajlc	蔓
ajlf	蒀
ajlt	蓝图
ajmp	邁
ajpg	墓室 划定
ajpv	草案
ajpw	慕容
ajqc	蓝色
ajqg	鹊
ajqk	慕名
ajql	草甸
ajqn	葛
ajrk	募捐
ajsg	草本
ajss	草木
ajsu	菓
ajth	蔓延
ajtl	蓝
aju	茧
ajuh	斯里兰卡
ajut	墓道
ajvb	郾
ajvd	匽
ajwd	幕僚
ajwv	划分
ajww	草丛
ajwy	募集
ajyw	幕府
akap	勤劳
akbf	葺
akbt	蕺
akd	叵
akdl	勤奋
akft	或者
akgb	鄞
akgd	或 戜
akge	彧
akgf	堇
akgl	勤
akgn	惑
akgq	觐
akhm	匮
akjg	或是
akkc	敺
akkf	莒
akkg	鹳
akkm	颧
akkn	萼
akyt	或许
alah	功臣
alap	功劳
alaq	苏区
alat	莲蓬
alaw	莲花
albb	莲子
albu	苏联
alce	功能
alcm	世界观
aldn	蒽
aldt	蔑
aldu	茵
alf	苗
alfe	薗
alfj	薯
alfw	功夫
alhh	萝卜
alk	匣
alkf	茄 茴
alkm	功勋
allb	莮
alll	荔
allt	功力
almy	苏丹
aln	功
alnt	世界性
alpl	苏军
alpn	甍
alpu	莲
alpx	薨
alqg	鹋
alqu	萝
alrj	蔪
alsg	世界杯
alsk	芝加哥
altf	世界各地
altu	菌
aluq	功效
alvv	匦 匭
alwl	蒕
alwu	苏
alww	英国人
alxg	功绩
alyj	功课
alyt	苏州 苗族
alyw	英国议会
alyx	功率
amaw	黄花
ambf	黄陵
ambh	黄陂
amce	英勇
amcu	芟
amdc	英雄
amdg	黄石
amdu	英
amdx	黄龙
amff	黄土 苒
amfg	英寸
amfh	英超
amfm	贡献
amft	英才
amgk	黄豆
amhk	匝 萜
amii	黄沙
amis	黄河
amit	黄海
amjj	荝
amkf	苘
amkk	贡品
amld	巩固
amlg	英国
amlp	黄连
ammd	花岗岩
ammm	黄山
ammq	黄冈
amna	恐慌
amnd	恐怖
amnh	恐惧
amnr	恐怕
ampe	黄家
ampl	英军
ampv	黄安
amqa	黄昏
amqb	苋
amqc	黄色
amqg	黄鳝
amqq	黄金
amu	贡
amup	黄帝
amwc	英俊
amwn	黅
amwu	黄 芮
amyg	英语
amyh	跫
amyj	蛩
amym	黄冈市
amyn	恐
amyq	銎
amyt	黄州
amyy	英文 巩
anae	蔬菜
anb	艺 芑
and	巨
andd	巨大
andg	巨石
andx	世袭
anff	蔚
anga	董必武 巨型
angk	世事
anhc	葭
anhh	世上
anhq	蔬
ani	忒
ankt	巨响
anku	薜
anlf	慕尼黑
anlw	世界
anmh	巨幅
anml	勩
annb	乬
annn	蕊
anpe	世家
anpt	巨额
ansu	枼
ansy	艺术
anth	芯片
antr	苾
anu	芯
anud	巨头
anuj	世间
anv	世
anwa	世代
anwe	蓼
anwu	芵
anww	世人 世俗 艺人 巨人
anwy	藋
anxn	世纪
anyu	荩
anyw	苡
aoaq	工业区
aolf	工业园
aouu	工业部门
aovf	蒌
aovt	薮
aowx	工业化
apaa	劳工
apaq	荣获
apdf	菪
apdg	蒙古 萤石
apfb	营地
apfc	劳动 蔻
apff	茔
apfi	营救
apfq	莞
apge	蒙
apgf	苎
apgg	萱 鹲
apgu	蒋祝平
apgy	莹
apiq	荣耀 荧光
apiu	荥
apiw	荣誉
apju	萤
apkk	营
aplb	劳
aplj	荤
aplt	劳力
aplx	劳累
apnf	茕
apnj	藌
apnn	菅
apog	营业 工农业
apou	荧
appy	荣禄
apqb	菀
apqg	莺
apqi	营销
aprh	荦
apso	黄鹤楼
apsu	荣
apta	营长
aptf	营造
aptj	慕容复
aptl	劳务
aptm	劳役
apu	芝
apud	营养
apug	黄宗羲
apuk	蒋家冲
apvf	营建
apvo	藛
apwj	蓿
apwk	蓉
apwu	茓
apxi	萦
apys	芝麻
aqaa	警戒
aqab	芪
aqah	鬵
aqai	或多或少
aqaj	区划
aqaq	葡萄 兓
aqav	莫名其妙
aqaw	菊花
aqbb	苑
aqbc	获取
aqbg	警卫
aqdq	苏鲁克
aqef	蔛
aqet	获胜
aqfa	区域
aqfq	欧元
aqgb	茚
aqgd	藓
aqgj	蓟
aqgl	蔔
aqgn	瓯
aqgy	葡
aqi	区
aqip	警觉
aqiy	欧洲
aqje	欧盟
aqjf	荀
aqkf	苟 茗
aqkj	蟼
aqkl	区别
aqkr	擎
aqks	檠
aqkt	敬
aqky	警 菟
aqmc	殴
aqmf	黄金周
aqmw	区内
aqnb	苞
aqnj	警惕
aqog	敬业
aqou	菊
aqpf	世锦赛
aqph	帶
aqpn	警官 慸
aqpw	警察
aqqg	鸥
aqqu	茤
aqqw	欧
aqrb	警报
aqrm	萄
aqrn	葱
aqrq	蔸
aqrr	芴
aqry	茐
aqsg	匹配
aqta	区长
aqtb	茆
aqtd	获
aqtf	警告
aqtg	敬重
aqtj	获得 获利
aqtn	莸
aqto	获悉 荻
aqu	艾
aquq	获奖
aquw	获准
aqv	匹 兂
aqvf	萏
aqwf	基金会
aqwq	敬仰
aqwu	芡
aqwv	区分
aqyg	鸢 茑
aqyu	芍
aqyy	警方
arcb	葩
ardc	菝
arfw	斯拉夫
argf	葟
argy	蒱
ariu	茱
arj	芹
ark	匠
arqc	蒐
artf	萆
asf	茜
asff	荰 蓕
asfn	薽
asgf	苯
asgo	蘸
ashf	葙
ashh	基本上
ashw	黄松龄
asip	东林党
asjj	蕈
askf	苛
askk	艺术品
asod	艺术类
aspe	艺术家
asrj	菥
asry	苏格拉底
assu	菻
asuf	英格兰 苏格兰
aswc	菘
atax	医药
atay	苌
atbp	医院
atbq	攻陷
atdh	攻破
atdi	医 繄
atdj	荞
atdn	翳
atdp	蓬
atdq	攻克
atdv	嫛
atdy	薙
ateb	莠
atfh	荇
atfj	芊
atfm	攻击
atfp	蓬勃 莛
atgf	董
atgh	攻下
atgk	董事
atgn	翘
atgo	薰
atgq	尧
athh	蓰
athk	攻占
athq	鸦片战争
atib	工程学院
atic	医治
atip	医学
atjg	工程师 医师 蓄积量
atjj	莉
atlf	颐和园
atlg	共和国
atlx	蓖
atmt	薇
atol	蕃
atpr	菲律宾
atpt	东长安街
atqh	蘅
atqi	英特尔 藜
atrs	攻打
atrt	莪
atrv	攻势
attg	医生
attl	医务
atty	攻入
atub	医疗
atud	攻关
atuh	苸
atvf	萎
atxi	蘩
atxp	萎缩
atxu	莓
aty	攻
atyf	攻读
auab	菩萨
aubb	燕子
aube	蒴
aucq	萒
auda	蒫
audi	东北大学
aufa	东北地区
augi	蘭
auht	虁
auii	薪水
auik	共产党员
auip	共产党
auiw	共产党人
auj	莘
aujn	薏
aujr	蕲
aukf	菩
auko	燕
aulb	共产国际
aumm	燕山
aumt	蔽
auna	东交民巷
aunn	工商局
auog	工商业
auph	蒂
auqf	蒋
auqu	茭
auqw	茨
ausg	薪酬
ausr	薪
auuk	东北部
auvo	蒹
auwy	蔺
auyi	燕京
auym	荆门市
auyy	共产主义
avb	艽
avbw	切除
avdf	菇 薅
aveu	茛
avfu	荨
avij	萧
avit	甘肃省
aviu	菉
avkf	苕 茹
avlf	菑
avn	切
avon	切断
avpd	切割
avpu	切实
avvc	薛姨妈
avwu	萸
avyu	芄
awaq	恭敬
awaw	荷花 茯苓 葵花
awbb	苍
awbx	工人阶级
awcn	蓊
awde	共有
awdg	蒋介石
awdu	茯
awfa	花卉
awfc	荟
awff	工人运动 茌
awfi	蔡
awfk	恭喜
awft	工作者
awfu	苻
awgd	葵
awgf	荃
awgi	莶
awgj	剳 匬
awgk	匼
awgw	薟
awhe	蓨
awhq	革命战争
awhs	蓧
awii	茶水
awip	革命党
awjj	工作日 芥
awjk	苍蝇
awju	蛬
awkf	茶叶 荷叶
awks	葆
awlf	花园
awlj	輂
awmc	苗人凤
awmg	共同
awmm	巫山
awms	花朵
awmt	茶几
awnb	巷 孽
awns	蘖
awnu	恭 薛
awpe	革命家
awqc	花色
awqg	花钱
awqn	茶馆
awrr	苍白
awsg	茶杯
awsk	荷
awss	花木
awsu	茶 花样
awsw	世代相传
awtf	莋
awtg	花生 共生
awtk	共和
awtu	荼
awu	共
awuf	荷兰 芬兰 莅
awuk	蓓
awur	花瓣
awuu	工作部门
awvb	芬
awvo	鳶
awvs	棻
awwi	巫
awwk	工作人员
awwq	觋
awwu	苁
awww	其他人
awwy	黄依依
awxb	花 芲
awxe	工作组
awxj	花费
awxy	花纹
awyb	共享
awyc	苓
awyf	共计 茶庄 萑
awyk	共识
awyn	芩
awyo	蕉
axad	蕴藏
axb	芎
axet	药用
axfc	苏维埃
axfm	蘏
axgn	莼
axgs	世纪末
axgu	苺
axjg	药师
axjl	蕴
axkk	药品
axog	药业
axqy	药
axsf	药材
axtr	药物 芗
axxb	芘
axxf	荜
axxi	蕬
axyh	药店
ayaf	芦苇
ayao	蔗
ayaq	荆州区
ayav	蘑菇
ayaw	芦花
ayb	芳
aycq	茺
ayhu	苄
ayia	荒漠
ayjc	黄庭坚
ayjj	荠
ayjn	蔼
ayke	蓑 蘘
aymk	蒿
aymm	荒山
ayms	藁
ayna	匾
aynb	芒
ayno	藨
aynq	荒
aynr	芦
ayoy	蔗糖
ayps	葶
aypt	匾额
aysd	蘼 蘑
aysr	藦
aytd	蔟
aytj	芳香
ayu	芠
ayuy	荒凉
ayve	莨
aywf	萃
aywg	节度使
aywu	菸
ayxl	蓄
ayxy	蕹
ayym	荆州市
ayyn	荒谬
ayyv	荒唐
bage	陆菲青
bagq	陈列
bagu	出其不意
bahj	陈旧
baiy	陈
basy	陈述
bat	聀
baue	陈毅
baym	陈设
bbbb	子
bbbf	孨
bbbi	子孙
bbbj	孴
bbcy	陬
bbg	孖
bbh	耶
bbkf	子叶
bbkk	子口
bbpk	子宫
bbqg	耶稣
bbux	子弟
bbvv	子女
bbxu	子弹
bcag	陉
bcbm	取出
bccm	颞
bccu	聂
bcet	取胜
bcii	取消
bcnd	聚居
bcou	焣
bcqk	取名
bcsf	取材
bctb	鄹
bcti	聚
bctj	取得
bcun	取决
bcvf	娶
bcwa	取代
bcwf	聚会
bcwg	聚合
bcwy	聚集 聚焦
bcxc	取经
bcxu	取缔
bcy	取
bdae	隋
bdaf	墮
bdai	堕落
bdan	隳
bdap	隨
bddx	承袭
bdef	堕
bdep	随 承受
bdfe	陙
bdfj	隋朝
bdii	承
bdjf	随时
bdjg	陌
bdkk	随口
bdlw	承办
bdpp	随之
bdqd	阮大铖
bdqn	承包
bdre	出奇制胜
bdrg	随后
bdrj	承担
bdrt	随手
bdsm	随机
bdtg	陌生
bdtm	随身
bdud	随着
bduj	随意
bdvc	随即
bdwg	随便
bdww	随从
bdxn	陇
bdya	承诺
bdyt	随州
bdyv	隋唐
bdyw	承认
bdyy	陈友谅
bebj	阴阳
bedj	阻碍
beg	阴
begg	阻
behh	阻止
beip	阴沉
bejy	阴影
belt	阻力
bera	阻挠
beri	阻挡
beru	阻拦
beut	阴道
beya	阴谋
bfaj	陵墓
bfaq	陵区
bfcc	陆无双
bfdj	孺
bffb	陆地
bfhh	陆上
bfhy	陡
bfiy	际 陆游
bfjg	降雨量
bfjh	阱
bfkh	陆路
bfmh	陆
bfnn	陆羽
bfpl	陆军
bfqd	陡然
bfqn	阮
bftj	陼
bfwt	陵
bfww	孙夫人
bfxf	陆续
bgbw	卫队
bgd	卫
bgfg	卫士
bgfh	了不起
bgga	隔开
bghg	耳 孲
bghh	耳目
bgiq	耳光
bgjo	陈丕显
bgjt	卫星
bgkh	隔
bglg	卫国
bglp	耳边
bgmn	陋
bgms	耳朵
bgnk	隔壁
bgqt	隞
bgrg	卫兵 隋开皇
bgsg	陕西
bgtg	卫生
bguw	陕
bgux	陕北
bgyb	隔离
bgyp	孙玉亭
bhbb	陈瞎子
bhcy	陂
bhdf	耻辱
bhdh	陈贞慧
bhg	耻 阯
bhgj	蚩
bhic	骘
bhit	陟
bhpq	除此之外
bibb	孙子
bibk	函
bieg	陗
bigf	丞
bign	巹
bigo	烝
bigu	孙少平
bii	氶
biih	孙婆婆
bijg	降水量
biji	隙
biov	函数
bipi	逊
bipv	孙少安
bisc	孙权
bish	丞相
bito	陈潭秋
biy	孙
biyn	陈水扁
bjfg	陧
bjg	阳
bjgr	陽
bjiq	阳光
bjmy	隅
bjnt	阳性
bjus	阳新
bjxo	隰
bkaa	职工
bkce	职能
bkcg	亟
bkdg	陨石
bkf	叾
bkgm	职责
bkhm	聩
bkkm	职员
bkmm	孙中山
bkmy	陨
bkng	职司
bkog	职业
bkpn	职官
bkru	耶路撒冷
bksc	职权
bktl	职务
bktq	职称
bkwu	职位
bkwy	职
bkym	职高
blap	阵营
blbb	孟子
blbl	阵阵
blf	孟
blfb	阵地
blge	隈
blh	阵 陣
blif	阵法
blit	孙四海
blln	勐
blpw	阵容
blrv	阵势
blxg	阵线
blyn	阵亡
bmck	出台
bmcn	出马
bmdm	出面
bmds	出奇
bmfc	出去 出动
bmff	出土
bmfg	聃
bmfi	祟
bmfm	出击
bmfn	出卖 出场
bmfu	出境
bmgf	出于
bmgm	出现
bmgn	聘
bmgo	出来
bmhw	出具
bmim	出没
bmit	出海
bmiy	出游
bmk	出
bmkh	出路
bmkk	出口
bmlg	出国
bmlt	出力
bmmv	孾
bmnt	出发
bmou	粜
bmoy	出炉
bmpe	出家
bmqc	出色
bmqk	出名
bmrg	出兵
bmrt	出手
bmsu	出栏
bmtf	出行
bmtg	出生 出征
bmth	出版 出自
bmtl	出血
bmtm	出身
bmtu	出乎
bmty	出入
bmud	出差 出头
bmuq	出资
bmut	出产
bmuy	出门
bmvp	出嫁
bmwg	出使
bmwt	出任
bmwy	出售
bmy	孭
bmya	出席
bmyg	聘请
bmyy	出言 出访
bnbb	孔子
bnh	了 凵 阝
bnhg	孑
bnhk	出发点
bnhn	也
bniw	孔雀
bnje	孔明
bnlf	也罢
bnn	孔 巜
bnqe	了解
bnu	孞
bnut	孔道
bnvb	也好
bnxf	了结
bnyt	也许
boy	耿
bpai	辽东 院落
bpbb	院子
bpbw	辽宁队
bpfg	院士
bpfi	孮
bpfq	院
bpif	阿富汗
bpit	陈家洛 辽宁省
bpjf	院里
bpk	辽
bpkh	院中 陈富忠
bpmw	院内
bpps	辽宁
bpqn	耽
bpru	耽搁
bpsu	院校
bpta	院长
bpui	辽阔
bpuy	院门
bpxn	陀
bpyk	耽误
bqad	隐藏
bqau	隐蔽
bqbb	孢子
bqbf	陷阱
bqbq	隐隐
bqga	隐形
bqgd	聊天
bqgf	陷于
bqha	隐瞒
bqkk	陶器 隐患
bqnd	隐居
bqnn	孢
bqrm	陶
bqtb	聊
bqtc	隐私
bqte	陈独秀
bqtm	隐身
bqtn	隐秘
bqty	陷入
bquq	陶瓷
bqvg	陷
bqvn	隐
bqxq	隐约
brcy	孤 阪
brfm	陈近南
brgg	隍
brqc	隗
brqt	孤独 孤儿
brtf	聛
bruu	孤立
brwr	阿拉伯
brww	阿拉伯人
bsit	陕西省
bsjf	阿里
bsjl	阿曼
bskg	阿
bskv	娿
bssk	阿哥
bstf	阿根廷
bsxm	阿森纳
btaf	陞
btah	降
btai	降落
btdg	聒
btfh	隆起 阡
btfn	毦
btgc	降到
btgf	陲
btgg	隆
btii	降水
btjt	降临
btkh	隆中
btlg	出租车
btpy	出版社
bttg	隆重
bttr	出版物
btuk	卫生部
btwq	降低
btww	降价 陌生人
bty	孜
btyd	隆庆
btyj	耶律齐
btyx	出生率
bubw	联队
buce	联通
budj	障碍
budt	联邦
budy	联
buef	墜
buep	隧
bugf	取决于
buje	联盟 聪明
bujh	障
bukg	陪
bukn	聪
bumg	陪同
bupf	联赛
bupl	联军
buqk	联名
burg	子弟兵
burt	联手
bush	联想
butx	联系
buut	隧道
buvl	联姻
buwg	联合
buwl	隘
buwu	陪伴
buxf	联结
buxt	联络
buyp	联谊
bvad	限期
bvey	限
bvgf	限于
bvpg	限定
bvpt	限额
bvqn	聣
bvrm	限制
bvwq	孙九爷
bvya	限度
bwbn	除了
bwdc	队友
bwdj	除非
bwet	聄
bwfc	除去
bwff	坠
bwfy	附
bwgi	险
bwgo	险恶
bwgy	联合政府
bwhx	险些
bwjh	阶
bwkm	队员
bwlg	联合国
bwlk	附加
bwnf	阶层
bwng	子公司
bwnt	附属
bwqh	除外
bwrp	附近
bwsu	阶梯
bwsv	险要
bwta	队长
bwty	除
bwud	附着
bwwd	阶段
bwwf	联合会
bwwg	队伍
bwwr	附件
bwxe	阶级
bwy	队
bwyc	聆
bxbw	阿弥陀佛
bxgh	陛下
bxgu	乸
bxuq	阶级斗争
bxxf	陛
bxxg	联络线 聯
byai	防范
bybb	孩子
bybg	防卫
byff	埅
byhh	防止
byia	陈文洪
byic	防治
byii	防水
byjy	也就是说
bymn	阬
byn	防
bynw	孩 陔
bypf	防守
byps	聤
bypw	防空
byqt	孩儿
byry	防护
bytl	防务 防备
bytr	防御
byxg	防线
byyj	防腐剂
byym	随州市
caaf	巴基斯坦 巴勒斯坦
cadm	颈
cadu	艰苦奋斗
caep	驱逐
cafc	驱动
cafh	驱赶
cagb	马其顿
caj	弁
cajh	刭
caky	驩
caln	劲
calt	劲力
cama	戏曲
camm	马鞍山
cand	戏剧
capd	迳
caqt	劲儿
caqy	驱
cat	戏
catq	戏称 骁
cauk	颈部
cayq	巯
cbad	预期
cbaq	预警
cbby	预防
cbci	骤
cbdg	预感
cbdm	预 預
cbfi	预示
cbh	邓
cbim	预测
cbj	予
cblq	柔软
cbn	驰
cbny	予以
cbou	预料
cbpg	预定
cbpv	预案
cbqd	骤然
cbqe	豫
cbqk	驰名
cbrb	预报
cbrf	矛盾
cbtc	骛 矝 矡
cbtf	预先 堥
cbtg	鹬 鹜
cbth	预算 瞀
cbtj	蟊
cbtk	柔和 矞
cbtl	预备
cbtn	矜
cbtp	遹
cbtq	鍪
cbtr	矛
cbts	柔 楘
cbtt	敄
cbtv	婺
cbud	矛头
cbwf	预付
cbyf	预计
cbys	预订
cbyy	预言
cccc	又 双双 叕 敠
ccce	參
cccf	垒 亝
cccg	叠
cccj	剼 剟
cccm	颡
ccco	鵽
cccs	桑
cccu	驫
ccef	双脚
ccev	双腿
ccfc	骚动
ccfh	驿
ccfk	双喜
cchh	双目
cchv	双眼
cckg	骀
cclp	双边
ccnk	双臂
ccqk	又名
ccqt	双儿
ccrd	骚扰
ccre	双拥
ccrs	双打
ccrt	双手
cctd	骚乱
cctg	双重
cctm	双向
cctq	又称
ccwt	骏
ccy	双 驭
ccyj	骚
ccyy	双方
cdcm	参观
cdcn	骑马
cddf	叁
cden	毵
cder	参
cdfg	骑士
cdft	参考
cdgn	参与
cdhk	参战
cdjv	参照
cdlf	畚
cdlk	参加
cdln	马克思
cdmq	参见
cdne	駹
cdov	参数
cdoy	邓有米
cdpf	参赛
cdpl	参军
cdrg	骑兵
cdsk	骑
cdtf	参赞
cdy	驮
cdya	参谋
cedp	通达
ceet	通用
cefg	勇士
cefp	通过
cegd	通天
cegf	勇于
cegg	驵
cegi	能否
ceid	能源
ceip	通常 熊掌
cej	甬
cejg	能量
cekq	通史
celb	勇
celg	通车
celt	能力
cemq	通风
cenb	勇敢
cenu	恿
cepk	通
ceqk	能够
ceqt	勇猛
cerb	通报
cern	勇气
cetd	通知
cete	通航 驱逐舰
cetf	通行
ceth	通衢
cetm	通向
cetq	通称
cety	通往
ceum	通商
ceut	通道
ceww	通俗
cewy	通信
cexa	通红
cexo	熊
cexx	能
ceym	通高
ceyn	通讯
ceyt	通话 通州
cfam	马士英
cfbl	对阵
cfbn	对了
cfbu	对联
cfdm	对面
cff	圣
cffb	圣地
cfgf	对于
cfhx	对此
cfii	圣水
cfjv	对照
cfkk	对口
cfmd	对岸
cfmf	对峙
cfnu	怼
cfqh	对外
cfqj	对象
cfrt	对手
cfry	对抗
cfsh	骦
cftd	对敌
cftf	对待
cftg	对策
cftq	对称
cfuu	对立
cfuw	对准
cfvj	马朝旭
cfwf	对付
cfww	圣人
cfwx	对华
cfxc	圣经
cfxg	圣母
cfxj	圣旨
cfxx	对比
cfy	对
cfyi	对应
cfyt	对话
cfyy	对方
cgda	马到成功
cgfh	对不起
cgmh	馷
cgmy	骊
cgsg	马来西亚
cgyy	马列主义
cigu	邓小平
ciit	台湾省
cjgh	騠
cjsy	騍
ckad	台基
ckbh	邰
ckbw	台阶
ckf	台
ckfb	台地
ckfn	欢呼声
ckgh	台下
ckh	驯
ckhh	台上
ckit	台海
ckiy	台湾
ckmq	台风
cknj	怠慢
cknu	怠
ckou	炱
ckpd	迨
ckqt	台独
ckqy	驶 駛
cksu	枲
ckue	台前
ckux	台北
ckxb	巼
ckyn	驯鹿
clbb	骡子
clbe	劝阻
cldy	骃
clg	驷
cln	劝
clxi	骡
clyu	劝说
cmgn	骋
cmhk	观点
cmim	观测
cmip	观赏
cmiq	观光
cmpw	观察
cmqn	观
cmrh	观看
cmuj	观音
cmww	观众
cmwy	观念
cmyn	观望
cnai	巴东
cnaq	马匹
cncf	又惊又喜
cndq	马克
cnfw	马夫
cngm	马刺
cngo	马来
cnhh	马上
cnhn	巴
